supplier_id,suplier_name,service_zips,product_categories,customer_satisfaction_score,can_mail_order?
SUP-001,Local Medical Supply Co,"11410, 11419, 11438","knee scooter, cervical collar, ice machine, heating pad",7,y
SUP-002,DME Direct LLC,00100-99999,"ice machine, oxygen, heating pad, shower chair, traction device, cervical collar, cane, crutches, back brace, CPAP",8,y
SUP-003,HealthEquip Plus & Associates,"77059, 77076, 77091","cane, commode",no ratings yet,y
SUP-004,Mobility Solutions Warehouse,"10450, 10454, 10456, 10458, 10460, 10462, 10463, 10467, 10468, 10469, 10472, 10473, 10474, 10475","heating pad, glucose meter, ankle brace, patient lift, shower chair",5,y
SUP-005,Respiratory Care Co Co,"10014, 10018, 10064, 10070, 10198, 10220, 10224, 10244, 10271","crutches, back brace, cane, compression stockings, oxygen, nebulizer, commode, knee scooter, hospital bed, CPAP, blood pressure monitor, heating pad",7,n
SUP-006,HomeHealth Supply & Associates,"60640, 60641, 60655, 60657","knee scooter, shower chair",6,y
SUP-007,MedEquip Depot Inc,00100-99999,"knee scooter, nebulizer, patient lift, blood pressure monitor, compression stockings, crutches",no ratings yet,n
SUP-008,CareFirst Medical LLC,11232-11305,"traction device, knee scooter, cervical collar, CPM machine, oxygen, glucose meter",5,y
SUP-009,Accessible Living & Associates,11434-11455,"nebulizer, cervical collar, ice machine, blood pressure monitor, tens unit, hospital bed, cane, oxygen, compression stockings",8,y
SUP-010,Senior Care Supply LLC,"11352, 11369, 11371, 11373, 11421, 11431","oxygen, patient lift, hospital bed, knee scooter, cervical collar, nebulizer, tens unit, blood pressure monitor, ice machine",10,n
SUP-011,Rehab Equipment Inc LLC,00100-99999,"cane, walker, rollator, shower chair",no ratings yet,y
SUP-012,Wellness Medical Depot,"11215, 11244, 11257, 11259","cervical collar, walker",9,y
SUP-013,Independence DME & Associates,10455-10502,"ankle brace, CPM machine, back brace, rollator, compression stockings, traction device",no ratings yet,y
SUP-014,Comfort Care Supplies Co,"11374, 11375, 11377, 11385, 11389, 11401, 11413, 11432, 11436",crutches,9,y
SUP-015,LifeStyle Medical Co,"60610, 60615, 60617, 60623, 60626, 60627, 60637, 60644, 60645, 60653, 60654, 60659","commode, wheelchair, patient lift, knee scooter, shower chair, ankle brace",no ratings yet,y
SUP-016,Premier Health Supply Center,"2164-2213, 2143-2193, 2154-2171","nebulizer, ankle brace, cane, walker, glucose meter, crutches",10,y
SUP-017,Quality DME LLC,"10046, 10075, 10098, 10239, 10272","blood pressure monitor, traction device, compression stockings, heating pad, walker, commode, knee scooter, crutches, cervical collar",8,y
SUP-018,Evergreen Medical Warehouse,10255-10275,"tens unit, compression stockings, back brace, cervical collar, ice machine, nebulizer, CPAP, CPM machine",7,n
SUP-019,Sunrise Health Equipment Depot,"11357, 11360, 11363, 11371, 11377, 11382, 11388, 11402, 11403, 11405, 11411, 11413, 11415, 11420","glucose meter, walker, nebulizer, cane, cervical collar, crutches, heating pad, hospital bed, tens unit",9,y
SUP-020,Metropolitan Medical Co,"2110, 2127, 2128, 2131, 2133, 2138, 2141, 2142, 2155, 2169, 2175, 2179, 2191, 2193","shower chair, rollator, glucose meter, crutches, CPM machine",7,y
SUP-021,Neighborhood Health Supply & Associates,"10051, 10079, 10102, 10142, 10143, 10167, 10243, 10257","commode, heating pad, traction device, rollator, ice machine, CPM machine, cervical collar, wheelchair",10,y
SUP-022,Regional DME Center,"19124, 19130, 19131","back brace, wheelchair, traction device",9,y
SUP-023,Community Care Equipment,"10003, 10007, 10058, 10059, 10138, 10151, 10169, 10230, 10235, 10247","ice machine, nebulizer, back brace, heating pad, CPM machine, CPAP, hospital bed, patient lift",10,y
SUP-024,Express Medical Co,"11205, 11208, 11214, 11217, 11221, 11225, 11230, 11235, 11242, 11253, 11255, 11259","traction device, commode, CPAP, tens unit, back brace, ice machine, cane",6,n
SUP-025,Reliable Health Supply,2198-2249,"shower chair, tens unit, commode, compression stockings, oxygen, walker",9,y
SUP-026,Advanced DME Depot,"77013, 77016, 77018, 77025, 77033, 77050, 77051, 77055, 77059, 77074, 77077, 77088, 77093","cervical collar, compression stockings, wheelchair, cane, oxygen",no ratings yet,y
SUP-027,Essential Medical LLC,00100-99999,"CPAP, ankle brace, cane, ice machine, CPM machine, heating pad, shower chair, walker, traction device",6,y
SUP-028,ProCare Equipment Center,00100-99999,"ankle brace, back brace, CPM machine",10,y
SUP-029,United Health Supply Center,00100-99999,"glucose meter, traction device, cervical collar, back brace, oxygen, heating pad, CPAP",6,y
SUP-030,American DME LLC,00100-99999,"nebulizer, ice machine, oxygen, wheelchair",6,y
SUP-031,Liberty Medical Supply Warehouse,11243-11337,"cervical collar, patient lift, knee scooter, glucose meter, walker, wheelchair, nebulizer, heating pad, rollator, blood pressure monitor, ice machine, CPM machine",8,n
SUP-032,Heritage Health Co,"77015, 77035, 77041, 77061, 77063, 77067, 77092, 77099","back brace, tens unit, oxygen, hospital bed, rollator, walker, compression stockings, traction device, patient lift, glucose meter, wheelchair",no ratings yet,n
SUP-033,Beacon Medical Inc,00100-99999,"blood pressure monitor, hospital bed, ankle brace, glucose meter",no ratings yet,y
SUP-034,Summit Health Equipment Warehouse,10128-10148,"wheelchair, CPAP, glucose meter, hospital bed, ankle brace, rollator, knee scooter, back brace, blood pressure monitor",9,n
SUP-035,Valley Medical Supply Co,"10451-10478, 10479-10502","nebulizer, walker, compression stockings, glucose meter, cervical collar, shower chair, wheelchair, rollator, ice machine, heating pad, oxygen",9,y
SUP-036,Coastal DME & Associates,"10040, 10066, 10090, 10100, 10154, 10165, 10194, 10197, 10211, 10213, 10230, 10250, 10252, 10254, 10286","tens unit, wheelchair, ankle brace, back brace, cervical collar, blood pressure monitor",8,n
SUP-037,Mountain Medical & Associates,"77081-77105, 77043-77072","hospital bed, blood pressure monitor, shower chair",7,y
SUP-038,Prairie Health Supply Inc,19120-19142,blood pressure monitor,7,n
SUP-039,River City Medical Center,"90016, 90021, 90034, 90076, 90082","shower chair, cane, cervical collar",9,y
SUP-040,Lakeside DME,10140-10212,"cane, glucose meter, blood pressure monitor",no ratings yet,y
SUP-041,Mountain Medical LLC,11201-11273,"ankle brace, tens unit, cane, crutches, walker, CPM machine, ice machine, traction device",7,y
SUP-042,Metropolitan Medical Inc,"77003, 77005, 77011, 77031, 77036, 77046, 77048, 77056, 77059, 77063, 77073, 77086, 77090, 77093","glucose meter, traction device, CPAP, blood pressure monitor, back brace, ankle brace",9,y
SUP-043,Sunrise Health Equipment,"77073-77085, 77018-77050, 77065-77103","hospital bed, knee scooter, oxygen, compression stockings, cane, glucose meter, wheelchair, blood pressure monitor, CPAP, heating pad, crutches",10,n
SUP-044,Summit Health Equipment & Associates,2189-2266,"commode, traction device",10,y
SUP-045,Respiratory Care Co Inc,"2107, 2134, 2163, 2185","heating pad, tens unit, hospital bed, ankle brace, nebulizer, ice machine, commode, cervical collar",9,y
SUP-046,Advanced DME Inc,"60603, 60606, 60607, 60610, 60616, 60628, 60629, 60630, 60632, 60645, 60648, 60650, 60652, 60658, 60659","ankle brace, CPAP, nebulizer, heating pad, cane, patient lift, glucose meter, compression stockings",10,n
SUP-047,Lakeside DME Center,"11221-11254, 11255-11284","back brace, patient lift, nebulizer, oxygen, wheelchair, glucose meter, tens unit, rollator, cane",10,y
SUP-048,Metropolitan Medical Center,10280-10336,"compression stockings, nebulizer, cervical collar, tens unit, walker, ice machine, heating pad, traction device, knee scooter",5,y
SUP-049,LifeStyle Medical,00100-99999,"glucose meter, nebulizer, patient lift, hospital bed, tens unit, oxygen, back brace, ankle brace, CPM machine, blood pressure monitor, ice machine, heating pad",no ratings yet,y
SUP-050,Respiratory Care Co LLC,"2138, 2144, 2157, 2171","rollator, back brace, tens unit",6,y
SUP-051,Independence DME & Associates,"90005, 90010, 90014, 90016, 90019, 90026, 90033, 90040, 90042, 90066, 90070, 90085, 90092, 90097, 90099","knee scooter, compression stockings, patient lift, CPM machine, traction device",7,n
SUP-052,DME Direct & Associates,90019-90080,traction device,5,y
SUP-053,River City Medical Warehouse,"90006, 90007, 90014, 90020, 90027, 90030, 90039, 90055, 90062, 90063, 90064, 90072, 90081","traction device, CPAP, back brace, wheelchair, crutches, CPM machine, shower chair, cane",6,y
SUP-054,Coastal DME Center,"2113, 2129, 2131, 2160","ice machine, traction device",5,y
SUP-055,LifeStyle Medical LLC,"60601, 60621, 60628, 60634, 60647","tens unit, shower chair, rollator, wheelchair, knee scooter, compression stockings, hospital bed, nebulizer, patient lift",no ratings yet,n
SUP-056,Senior Care Supply Depot,90065-90117,"walker, traction device",no ratings yet,y
SUP-057,CareFirst Medical Inc,10007-10073,"CPAP, rollator, heating pad, ice machine, CPM machine, traction device, glucose meter, hospital bed, cervical collar, walker, ankle brace, patient lift",6,y
SUP-058,LifeStyle Medical Depot,"60604, 60609, 60611, 60614, 60615, 60647","heating pad, tens unit, ice machine, CPAP, oxygen, wheelchair, patient lift, compression stockings, blood pressure monitor, walker, cervical collar, shower chair",6,n
SUP-059,Lakeside DME Co,"10475-10511, 10470-10496, 10459-10474","CPAP, back brace, tens unit, glucose meter",no ratings yet,y
SUP-060,Beacon Medical Inc,"90019, 90020, 90031, 90039, 90040, 90059, 90061, 90062, 90068, 90072, 90084, 90087, 90089","commode, tens unit, compression stockings, crutches, shower chair, wheelchair",no ratings yet,y
SUP-061,Liberty Medical Supply Co,90028-90109,patient lift,6,y
SUP-062,Mountain Medical Center,90068-90105,"nebulizer, cervical collar, shower chair",5,y
SUP-063,HealthEquip Plus Inc,"60612, 60646, 60650","compression stockings, knee scooter, ankle brace, cervical collar, heating pad, ice machine, cane, wheelchair, crutches, walker, back brace",8,n
SUP-064,Premier Health Supply,"11397-11443, 11354-11367",compression stockings,10,n
SUP-065,Essential Medical Warehouse,"2101, 2109, 2127, 2154, 2163, 2166, 2180, 2193, 2198","nebulizer, CPAP",10,y
SUP-066,Metropolitan Medical & Associates,"11200, 11202, 11207, 11214, 11215, 11218, 11221, 11236, 11239, 11242, 11244, 11253, 11254, 11259","rollator, nebulizer, hospital bed, walker, cervical collar, glucose meter",5,n
SUP-067,Summit Health Equipment Depot,00100-99999,"ice machine, shower chair, CPAP",8,y
SUP-068,Beacon Medical Co,"10023, 10025, 10026, 10032, 10075, 10076, 10083, 10100, 10117, 10143, 10177, 10180",CPAP,8,y
SUP-069,ProCare Equipment LLC,11243-11310,"heating pad, rollator, shower chair, back brace, CPM machine, wheelchair",no ratings yet,y
SUP-070,Independence DME Depot,"90007, 90018, 90031, 90033, 90036, 90047, 90055, 90057, 90061, 90065, 90072, 90086, 90088, 90091, 90094","back brace, rollator, blood pressure monitor",8,y
SUP-071,Community Care Equipment & Associates,77090-77123,"cane, tens unit, CPAP, hospital bed, compression stockings, wheelchair, traction device, ankle brace, ice machine, patient lift, glucose meter",9,y
SUP-072,Regional DME Co,"2101, 2111, 2116, 2151, 2156","walker, CPM machine, rollator, compression stockings, heating pad, commode",9,y
