product_code,product_name,category
WC-STD-001,Standard Wheelchair,wheelchair
WC-TRN-002,Transport Wheelchair,wheelchair
WC-LW-003,Lightweight Wheelchair,wheelchair
WC-BAR-004,Bariatric Wheelchair,wheelchair
WC-PED-005,Pediatric Wheelchair,wheelchair
WC-REC-006,Reclining Wheelchair,wheelchair
WC-PWR-007,Power Wheelchair,wheelchair
WC-ELV-008,Manual Wheelchair with Elevating Legrests,wheelchair
WK-STD-009,Standard Walker,walker
WK-ROL-010,Rolling Walker,walker
WK-2WH-011,Two-Wheel Walker,walker
WK-4WH-012,Four-Wheel Walker,walker
WK-BAR-013,Bariatric Walker,walker
WK-PED-014,Pediatric Walker,walker
WK-FLD-015,Folding Walker,walker
WK-PLT-016,Platform Walker,walker
HB-SEM-017,Semi-Electric Hospital Bed,hospital bed
HB-FUL-018,Full Electric Hospital Bed,hospital bed
HB-MAN-019,Manual Hospital Bed,hospital bed
HB-LOW-020,Low Hospital Bed,hospital bed
HB-BAR-021,Bariatric Hospital Bed,hospital bed
HB-PED-022,Pediatric Hospital Bed,hospital bed
HB-TRN-023,Trendelenburg Hospital Bed,hospital bed
OX-PORT-024,Portable Oxygen Concentrator,oxygen
OX-STAT-025,Stationary Oxygen Concentrator,oxygen
OX-TANK-E-026,Oxygen Tank - E Cylinder,oxygen
OX-TANK-D-027,Oxygen Tank - D Cylinder,oxygen
OX-LIQ-028,Liquid Oxygen System,oxygen
OX-CONS-029,Oxygen Conserving Device,oxygen
OX-PULOX-030,Pulse Oximeter,oxygen
CP-STD-031,CPAP Machine,CPAP
CP-BI-032,BiPAP Machine,CPAP
CP-AUTO-033,Auto CPAP,CPAP
CP-TRV-034,Travel CPAP,CPAP
CP-MSK-FF-035,CPAP Mask - Full Face,CPAP
CP-MSK-N-036,CPAP Mask - Nasal,CPAP
CP-MSK-NP-037,CPAP Mask - Nasal Pillow,CPAP
CP-HUM-038,CPAP Heated Humidifier,CPAP
NB-COMP-039,Compressor Nebulizer,nebulizer
NB-ULTR-040,Ultrasonic Nebulizer,nebulizer
NB-MESH-041,Portable Mesh Nebulizer,nebulizer
NB-PED-042,Pediatric Nebulizer,nebulizer
PL-ELEC-043,Electric Patient Lift,patient lift
PL-MAN-044,Manual Patient Lift,patient lift
PL-STS-045,Sit-to-Stand Lift,patient lift
PL-CEIL-046,Ceiling Lift System,patient lift
PL-PORT-047,Portable Patient Lift,patient lift
CM-BED-048,Bedside Commode,commode
CM-DROP-049,Drop-Arm Commode,commode
